Franchise ID,names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country
1,A Nightmare on Elm Street,8/1/1985,73,Horror,"Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...","John Saxon, Lieutenant Donald Thompson, Ronee Blakley, Marge Thompson, Heather Langenkamp, Nancy Thompson, Amanda Wyss, Tina Gray, Jsu Garcia, Rod Lane, Johnny Depp, Glen Lantz, Robert Englund, Fred Krueger, Charles Fleischer, Dr. King, Joseph Whipp, Sgt. Parker",A Nightmare on Elm Street, Released, English,35000000,117729618,AU
1,A Nightmare on Elm Street,5/20/2010,55,"Horror, Mystery, Thriller","The film that brings back horror icon Freddy Krueger as a darker and more sinister character than ever before. While Freddy is on the prowl, a group of teenagers being stalked soon learn they all have a common factor making them targets for this twisted killer.","Jackie Earle Haley, Freddy Krueger, Kyle Gallner, Quentin Smith, Rooney Mara, Nancy Holbrook, Katie Cassidy, Kris Fowles, Thomas Dekker, Jesse Braun, Kellan Lutz, Dean Russell, Clancy Brown, Alan Smith, Connie Britton, Dr. Gwen Holbrook, Lia D. Mortensen, Nora Fowles",A Nightmare on Elm Street, Released, English,35000000,117729618,AU
1,A Nightmare on Elm Street 3: Dream Warriors,2/27/1987,67,"Horror, Thriller","It's been many years since Freddy Krueger's first victim, Nancy, came face-to-face with Freddy and his sadistic, evil ways. Now, Nancy's all grown up; she's put her frightening nightmares behind her and is helping teens cope with their dreams. Too bad Freddy's decided to herald his return by invading the kids' dreams and scaring them into committing suicide.","Heather Langenkamp, Nancy Thompson, Craig Wasson, Neil Gordon, Patricia Arquette, Kristen Parker, Robert Englund, Freddy Krueger, Ken Sagoes, Kincaid, Rodney Eastman, Joey, Jennifer Rubin, Taryn, Bradley Gregg, Phillip, Ira Heiden, Will",A Nightmare on Elm Street 3: Dream Warriors, Released, English,4000000,44800000,US
1,A Nightmare on Elm Street 4: The Dream Master,8/19/1988,58,"Horror, Thriller","Dream demon Freddy Krueger is resurrected from his apparent demise, and rapidly tracks down and kills the remainder of the Elm Street kids. However, Kristen, who can draw others into her dreams, wills her special ability to her friend Alice. Alice soon realizes that Freddy is taking advantage of that unknown power to pull a new group of children into his foul domain.","Robert Englund, Freddy Krueger, Lisa Wilcox, Alice Johnson, Tuesday Knight, Kristen, Andras Jones, Rick, Danny Hassel, Dan, Ken Sagoes, Kincaid, Rodney Eastman, Joey, Brooke Theiss, Debbie, Toy Newkirk, Sheila",A Nightmare on Elm Street 4: The Dream Master, Released, English,13000000,49369899,US
1,A Nightmare on Elm Street Part 2: Freddy's Revenge,11/1/1985,58,Horror,"Jesse Walsh moves with his family into the home of the lone survivor from a series of attacks by dream-stalking monster Freddy Krueger. There, Jesse is bedeviled by nightmares and inexplicably violent impulses. It turns out Freddy is out to possess him in order to continue his reign of terror in the real world.","Robert Englund, Freddy Krueger, Mark Patton, Jesse Walsh, Kim Myers, Lisa Webber, Robert Rusler, Ron Grady, Clu Gulager, Ken Walsh, Hope Lange, Cheryl Walsh, Marshall Bell, Coach Schneider, Melinda O. Fee, Mrs. Webber, Tom McFadden, Mr. Webber",A Nightmare on Elm Street Part 2: Freddy's Revenge, Released, English,3000000,30000000,US
1,A Nightmare on Elm Street: The Dream Child,8/11/1989,54,"Horror, Thriller","Alice, having survived the previous installment of the Nightmare series, finds the deadly dreams of Freddy Krueger starting once again. This time, the taunting murderer is striking through the sleeping mind of Alice's unborn child. His intention is to be ""born again"" into the real world. The only one who can stop Freddy is his dead mother, but can Alice free her spirit in time to save her own son?","Robert Englund, Freddy Krueger, Lisa Wilcox, Alice Johnson, Erika Anderson, Greta Gibson, Valorie Armstrong, Mrs. Jordan, Michael Ashton, Gurney Orderly, Kelly Jo Minter, Yvonne, Danny Hassel, Dan Jordan, Nicholas Mele, Dennis Johnson, Joe Seely, Mark Gray",A Nightmare on Elm Street: The Dream Child, Released, English,6000000,22168359,US
2,Avengers: Age of Ultron,4/23/2015,73,"Action, Adventure, Science Fiction","When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earthâ€™s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","Robert Downey Jr., Tony Stark / Iron Man, Chris Hemsworth, Thor Odinson, Mark Ruffalo, Bruce Banner / The Hulk, Chris Evans, Steve Rogers / Captain America, Scarlett Johansson, Natasha Romanoff / Black Widow, Jeremy Renner, Clint Barton / Hawkeye, James Spader, Ultron (voice), Samuel L. Jackson, Nick Fury, Don Cheadle, James ""Rhodey"" Rhodes / War Machine",Avengers: Age of Ultron, Released, English,365000000,1395316979,AU
2,Avengers: Endgame,4/24/2019,83,"Action, Adventure, Science Fiction","After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.","Robert Downey Jr., Tony Stark / Iron Man, Chris Evans, Steve Rogers / Captain America, Mark Ruffalo, Bruce Banner / Hulk, Chris Hemsworth, Thor Odinson, Scarlett Johansson, Natasha Romanoff / Black Widow, Jeremy Renner, Clint Barton / Hawkeye, Don Cheadle, James Rhodes / War Machine, Paul Rudd, Scott Lang / Ant-Man, Benedict Cumberbatch, Stephen Strange / Doctor Strange",Avengers: Endgame, Released, English,400000000,2794731755,AU
2,Avengers: Infinity War,4/25/2018,83,"Action, Adventure, Science Fiction","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.","Robert Downey Jr., Tony Stark / Iron Man, Chris Hemsworth, Thor Odinson, Mark Ruffalo, Bruce Banner / Hulk, Chris Evans, Steve Rogers / Captain America, Scarlett Johansson, Natasha Romanoff / Black Widow, Benedict Cumberbatch, Stephen Strange / Doctor Strange, Tom Holland, Peter Parker / Spider-Man, Chadwick Boseman, T'Challa / Black Panther, Don Cheadle, James 'Rhodey' Rhodes / War Machine",Avengers: Infinity War, Released, English,300000000,2048359754,AU
2,The Avengers,4/25/2012,77,"Science Fiction, Action,Â Adventure","When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","Robert Downey Jr., Tony Stark / Iron Man, Chris Evans, Steve Rogers / Captain America, Mark Ruffalo, Bruce Banner / The Hulk, Chris Hemsworth, Thor Odinson, Scarlett Johansson, Natasha Romanoff / Black Widow, Jeremy Renner, Clint Barton / Hawkeye, Tom Hiddleston, Loki, Samuel L. Jackson, Nick Fury, Cobie Smulders, Maria Hill",The Avengers, Released, English,225000000,1515100211,AU
